Run Date,Action,Symbol,Description,Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
 01/31/2024, REINVESTMENT (COOLXX) (Cash),COOLXX,DESCRIPTION 1,Cash,5.44,1,,,,-5.44,851.07,
 01/31/2024, DIVIDEND RECEIVED (COOLXX)  (Cash),COOLXX,DESCRIPTION 1,Cash,0,,,,,5.44,851.07,
 01/28/2024, YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER (FOOD) (Cash),FOOD,DESCRIPTION 2,Cash,353.107,14.16,,,,-5000,845.63,1/30/2024
 01/28/2024, CASH CONTRIBUTION PRIOR YEAR (Cash), , No Description,Cash,0,,,,,2000,5845.63,
 01/17/2024, CASH CONTRIBUTION PRIOR YEAR (Cash), , No Description,Cash,0,,,,,3700,3845.63,
 01/13/2024, YOU BOUGHT  (ABCD) (Cash),ABCD,DESCRIPTION 3,Cash,2,469.59,,,,-939.18,145.63,1/15/2024
 01/12/2024, YOU BOUGHT (BOOG),BOOG,DESCRIPTION 4,Cash,3,449.59,,,,-1348.77,1084.81,1/14/2024
 01/12/2024, CASH CONTRIBUTION CURRENT YEAR (Cash), , No Description,Cash,0,,,,,775,2433.58,
 01/11/2024, REINVESTMENT (MINE2X) (Cash),MINE2X,DESCRIPTION 5,Cash,0.017,176.18,,,,-3.07,1658.58,
 01/11/2024, DIVIDEND RECEIVED (MINE2X) (Cash),MINE2X,DESCRIPTION 5,Cash,0,,,,,3.07,1661.65,
 01/09/2024, REINVESTMENT (COOLXX) (Cash),COOLXX,DESCRIPTION 1,Cash,4.45,1,,,,-4.45,1658.58,
 01/08/2024, DIVIDEND RECEIVED (COOLXX) (Cash),COOLXX,DESCRIPTION 1,Cash,0,,,,,4.45,1658.58,
 01/08/2024, CASH CONTRIBUTION PRIOR YEAR (Cash), , No Description,Cash,0,,,,,650,1654.13,
 01/07/2024, REINVESTMENT (COOLXX) (Cash),COOLXX,DESCRIPTION 1,Cash,2.15,1,,,,-2.15,1004.13,
 01/05/2024, DIVIDEND RECEIVED (COOLXX) (Cash),COOLXX,DESCRIPTION 1,Cash,0,,,,,2.15,1004.13,
 01/02/2024, CASH CONTRIBUTION PRIOR YEAR (Cash), , No Description,Cash,0,,,,,650,1001.98,
 01/01/2024, REINVESTMENT (COOLXX) (Cash),COOLXX,DESCRIPTION 1,Cash,1.2,1,,,,-1.2,351.98,
 01/01/2024, DIVIDEND RECEIVED (COOLXX) (Cash),COOLXX,DESCRIPTION 1,Cash,0,,,,,1.2,351.98,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
The data and information in this spreadsheet is provided to you solely for your use and is not for distribution. The spreadsheet is provided for,,,,,,,,,,,,
"informational purposes only, and is not intended to provide advice, nor should it be construed as an offer to sell, a solicitation of an offer to buy or a",,,,,,,,,,,,
recommendation for any security or insurance product by Fidelity or any third party. Data and information shown is based on information known to Fidelity as of the date it was,,,,,,,,,,,,
exported and is subject to change. It should not be used in place of your account statements or trade confirmations and is not intended for tax reporting,,,,,,,,,,,,
"purposes. For more information on the data included in this spreadsheet, including any limitations thereof, go to Fidelity.com.",,,,,,,,,,,,
,,,,,,,,,,,,
"Brokerage services are provided by Fidelity Brokerage Services LLC (FBS), 900 Salem Street, Smithfield, RI 02917. Custody and other services provided by National",,,,,,,,,,,,
"Financial Services LLC (NFS). Both are Fidelity Investment companies and members SIPC, NYSE. Insurance products at Fidelity are distributed by",,,,,,,,,,,,
"Fidelity Insurance Agency, Inc., and, for certain products, by Fidelity Brokerage Services, Member NYSE, SIPC.",,,,,,,,,,,,
,,,,,,,,,,,,
Date downloaded,,,,,,,,,,,,
